,Year,State,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Uncleaned.Data,Department.Of.Labor.Cleaned.Low.Value,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value,Department.Of.Labor.Cleaned.High.Value.2020.Dollars,Footnote
0,1968,Alabama,0.0,0.0,1.15,8.55,1.15,8.55,34.8,...,0.0,0.0,0.0,0.0,
1,1968,Alaska,2.1,15.61,1.15,8.55,2.1,15.61,34.8,2.1,2.1,15.61,2.1,15.61,
2,1968,Arizona,0.46799999999999997,3.48,1.15,8.55,1.15,8.55,34.8,18.72 - 26.40/wk(b),0.46799999999999997,3.48,0.66,4.91,(b)
3,1968,Arkansas,0.15625,1.16,1.15,8.55,1.15,8.55,34.8,1.25/day(b),0.15625,1.16,0.15625,1.16,(b)
4,1968,California,1.65,12.26,1.15,8.55,1.65,12.26,34.8,1.65(b),1.65,12.26,1.65,12.26,(b)
5,1968,Colorado,1.0,7.43,1.15,8.55,1.15,8.55,34.8,1.00 - 1.25(b),1.0,7.43,1.25,9.29,(b)
6,1968,Connecticut,1.4,10.41,1.15,8.55,1.4,10.41,34.8,1.4,1.4,10.41,1.4,10.41,
7,1968,Delaware,1.25,9.29,1.15,8.55,1.25,9.29,34.8,1.25,1.25,9.29,1.25,9.29,
8,1968,District of Columbia,1.25,9.29,1.15,8.55,1.25,9.29,34.8,1.25 - 1.40,1.25,9.29,1.4,10.41,
9,1968,Florida,0.0,0.0,1.15,8.55,1.15,8.55,34.8,...,0.0,0.0,0.0,0.0,
10,1968,Georgia,0.0,0.0,1.15,8.55,1.15,8.55,34.8,...,0.0,0.0,0.0,0.0,
11,1968,Guam,1.25,9.29,1.15,8.55,1.25,9.29,34.8,1.25,1.25,9.29,1.25,9.29,
12,1968,Hawaii,1.25,9.29,1.15,8.55,1.25,9.29,34.8,1.25,1.25,9.29,1.25,9.29,
13,1968,Idaho,1.15,8.55,1.15,8.55,1.15,8.55,34.8,1.15,1.15,8.55,1.15,8.55,
14,1968,Illinois,0.0,0.0,1.15,8.55,1.15,8.55,34.8,...,0.0,0.0,0.0,0.0,
15,1968,Indiana,1.15,8.55,1.15,8.55,1.15,8.55,34.8,1.15,1.15,8.55,1.15,8.55,
16,1968,Iowa,0.0,0.0,1.15,8.55,1.15,8.55,34.8,...,0.0,0.0,0.0,0.0,
17,1968,Kansas,0.0,0.0,1.15,8.55,1.15,8.55,34.8,...,0.0,0.0,0.0,0.0,
18,1968,Kentucky,0.65,4.83,1.15,8.55,1.15,8.55,34.8,.65 - .75(b),0.65,4.83,0.75,5.57,(b)
19,1968,Louisiana,0.0,0.0,1.15,8.55,1.15,8.55,34.8,...,0.0,0.0,0.0,0.0,
20,1968,Maine,1.4,10.41,1.15,8.55,1.4,10.41,34.8,1.4,1.4,10.41,1.4,10.41,
21,1968,Maryland,1.0,7.43,1.15,8.55,1.15,8.55,34.8,1.00 & 1.15,1.0,7.43,1.15,8.55,
22,1968,Massachusetts,1.6,11.89,1.15,8.55,1.6,11.89,34.8,1.6,1.6,11.89,1.6,11.89,
23,1968,Michigan,1.25,9.29,1.15,8.55,1.25,9.29,34.8,1.25,1.25,9.29,1.25,9.29,
